min					,max					,minRoundingErr			,maxRoundingErr			,minCumulativeErr		,maxCumulativeErr		,minPercentageRound		,maxPercentageRound		,minPercentageCumulative,maxPercentageCumulative

0,1,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05
0,10,0.001696161925792694,0.002614783123135567,-0.0006227996200323105,0.0004859417676925659,0.0001696161925792694,0.0002614783123135567,-6.227996200323105e-05,4.859417676925659e-05
0,100,0.01726430654525757,0.0273728147149086,-0.006891608238220215,0.006719112396240234,0.0001726430654525757,0.000273728147149086,-6.891608238220215e-05,6.719112396240234e-05
0,1000,0.1746752262115479,0.2594459056854248,-0.06038856506347656,0.07007169723510742,0.0001746752262115478,0.0002594459056854248,-6.038856506347657e-05,7.007169723510742e-05
0,10000,1.685966491699219,2.491485595703125,-0.64263916015625,0.5399131774902344,0.0001685966491699219,0.0002491485595703125,-6.4263916015625e-05,5.399131774902343e-05
0,100000,16.5775146484375,28.468505859375,-6.41815185546875,8.05859375,0.000165775146484375,0.00028468505859375,-6.41815185546875e-05,8.05859375e-05
0,1000000,172.44384765625,262.242431640625,-65.884033203125,59.0872802734375,0.00017244384765625,0.000262242431640625,-6.5884033203125e-05,5.90872802734375e-05
0,10000000,1626.4521484375,2444.39453125,-563.796875,675.00390625,0.00016264521484375,0.000244439453125,-5.63796875e-05,6.7500390625e-05
min					,max					,minRoundingErr			,maxRoundingErr			,minCumulativeErr		,maxCumulativeErr		,minPercentageRound		,maxPercentageRound		,minPercentageCumulative,maxPercentageCumulative

0,1,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05
0,10,0.001696161925792694,0.002614783123135567,-0.0006227996200323105,0.0004859417676925659,0.0001696161925792694,0.0002614783123135567,-6.227996200323105e-05,4.859417676925659e-05
0,100,0.01726430654525757,0.0273728147149086,-0.006891608238220215,0.006719112396240234,0.0001726430654525757,0.000273728147149086,-6.891608238220215e-05,6.719112396240234e-05
0,1000,0.1746752262115479,0.2594459056854248,-0.06038856506347656,0.07007169723510742,0.0001746752262115478,0.0002594459056854248,-6.038856506347657e-05,7.007169723510742e-05
0,10000,1.685966491699219,2.491485595703125,-0.64263916015625,0.5399131774902344,0.0001685966491699219,0.0002491485595703125,-6.4263916015625e-05,5.399131774902343e-05
0,100000,16.5775146484375,28.468505859375,-6.41815185546875,8.05859375,0.000165775146484375,0.00028468505859375,-6.41815185546875e-05,8.05859375e-05
0,1000000,172.44384765625,262.242431640625,-65.884033203125,59.0872802734375,0.00017244384765625,0.000262242431640625,-6.5884033203125e-05,5.90872802734375e-05
0,10000000,1626.4521484375,2444.39453125,-563.796875,675.00390625,0.00016264521484375,0.000244439453125,-5.63796875e-05,6.7500390625e-05
min					,max					,minRoundingErr			,maxRoundingErr			,minCumulativeErr		,maxCumulativeErr		,minPercentageRound		,maxPercentageRound		,minPercentageCumulative,maxPercentageCumulative

0,1,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05
0,10,0.001696161925792694,0.002614783123135567,-0.0006227996200323105,0.0004859417676925659,0.0001696161925792694,0.0002614783123135567,-6.227996200323105e-05,4.859417676925659e-05
0,100,0.01726430654525757,0.0273728147149086,-0.006891608238220215,0.006719112396240234,0.0001726430654525757,0.000273728147149086,-6.891608238220215e-05,6.719112396240234e-05
0,1000,0.1746752262115479,0.2594459056854248,-0.06038856506347656,0.07007169723510742,0.0001746752262115478,0.0002594459056854248,-6.038856506347657e-05,7.007169723510742e-05
0,10000,1.685966491699219,2.491485595703125,-0.64263916015625,0.5399131774902344,0.0001685966491699219,0.0002491485595703125,-6.4263916015625e-05,5.399131774902343e-05
0,100000,16.5775146484375,28.468505859375,-6.41815185546875,8.05859375,0.000165775146484375,0.00028468505859375,-6.41815185546875e-05,8.05859375e-05
0,1000000,172.44384765625,262.242431640625,-65.884033203125,59.0872802734375,0.00017244384765625,0.000262242431640625,-6.5884033203125e-05,5.90872802734375e-05
0,10000000,1626.4521484375,2444.39453125,-563.796875,675.00390625,0.00016264521484375,0.000244439453125,-5.63796875e-05,6.7500390625e-05
min					,max					,minRoundingErr			,maxRoundingErr			,minCumulativeErr		,maxCumulativeErr		,minPercentageRound		,maxPercentageRound		,minPercentageCumulative,maxPercentageCumulative

0,1,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05
0,10,0.001696161925792694,0.002614783123135567,-0.0006227996200323105,0.0004859417676925659,0.0001696161925792694,0.0002614783123135567,-6.227996200323105e-05,4.859417676925659e-05
0,100,0.01726430654525757,0.0273728147149086,-0.006891608238220215,0.006719112396240234,0.0001726430654525757,0.000273728147149086,-6.891608238220215e-05,6.719112396240234e-05
0,1000,0.1746752262115479,0.2594459056854248,-0.06038856506347656,0.07007169723510742,0.0001746752262115478,0.0002594459056854248,-6.038856506347657e-05,7.007169723510742e-05
0,10000,1.685966491699219,2.491485595703125,-0.64263916015625,0.5399131774902344,0.0001685966491699219,0.0002491485595703125,-6.4263916015625e-05,5.399131774902343e-05
0,100000,16.5775146484375,28.468505859375,-6.41815185546875,8.05859375,0.000165775146484375,0.00028468505859375,-6.41815185546875e-05,8.05859375e-05
0,1000000,172.44384765625,262.242431640625,-65.884033203125,59.0872802734375,0.00017244384765625,0.000262242431640625,-6.5884033203125e-05,5.90872802734375e-05
0,10000000,1626.4521484375,2444.39453125,-563.796875,675.00390625,0.00016264521484375,0.000244439453125,-5.63796875e-05,6.7500390625e-05
min					,max					,minRoundingErr			,maxRoundingErr			,minCumulativeErr		,maxCumulativeErr		,minPercentageRound		,maxPercentageRound		,minPercentageCumulative,maxPercentageCumulative

0,1,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05
0,10,0.001696161925792694,0.002614783123135567,-0.0006227996200323105,0.0004859417676925659,0.0001696161925792694,0.0002614783123135567,-6.227996200323105e-05,4.859417676925659e-05
0,100,0.01726430654525757,0.0273728147149086,-0.006891608238220215,0.006719112396240234,0.0001726430654525757,0.000273728147149086,-6.891608238220215e-05,6.719112396240234e-05
0,1000,0.1746752262115479,0.2594459056854248,-0.06038856506347656,0.07007169723510742,0.0001746752262115478,0.0002594459056854248,-6.038856506347657e-05,7.007169723510742e-05
0,10000,1.685966491699219,2.491485595703125,-0.64263916015625,0.5399131774902344,0.0001685966491699219,0.0002491485595703125,-6.4263916015625e-05,5.399131774902343e-05
0,100000,16.5775146484375,28.468505859375,-6.41815185546875,8.05859375,0.000165775146484375,0.00028468505859375,-6.41815185546875e-05,8.05859375e-05
0,1000000,172.44384765625,262.242431640625,-65.884033203125,59.0872802734375,0.00017244384765625,0.000262242431640625,-6.5884033203125e-05,5.90872802734375e-05
0,10000000,1626.4521484375,2444.39453125,-563.796875,675.00390625,0.00016264521484375,0.000244439453125,-5.63796875e-05,6.7500390625e-05
min					,max					,minRoundingErr			,maxRoundingErr			,minCumulativeErr		,maxCumulativeErr		,minPercentageRound		,maxPercentageRound		,minPercentageCumulative,maxPercentageCumulative

0,1,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05
0,10,0.001696161925792694,0.002614783123135567,-0.0006227996200323105,0.0004859417676925659,0.0001696161925792694,0.0002614783123135567,-6.227996200323105e-05,4.859417676925659e-05
0,100,0.01726430654525757,0.0273728147149086,-0.006891608238220215,0.006719112396240234,0.0001726430654525757,0.000273728147149086,-6.891608238220215e-05,6.719112396240234e-05
0,1000,0.1746752262115479,0.2594459056854248,-0.06038856506347656,0.07007169723510742,0.0001746752262115478,0.0002594459056854248,-6.038856506347657e-05,7.007169723510742e-05
0,10000,1.685966491699219,2.491485595703125,-0.64263916015625,0.5399131774902344,0.0001685966491699219,0.0002491485595703125,-6.4263916015625e-05,5.399131774902343e-05
0,100000,16.5775146484375,28.468505859375,-6.41815185546875,8.05859375,0.000165775146484375,0.00028468505859375,-6.41815185546875e-05,8.05859375e-05
0,1000000,172.44384765625,262.242431640625,-65.884033203125,59.0872802734375,0.00017244384765625,0.000262242431640625,-6.5884033203125e-05,5.90872802734375e-05
0,10000000,1626.4521484375,2444.39453125,-563.796875,675.00390625,0.00016264521484375,0.000244439453125,-5.63796875e-05,6.7500390625e-05
min					,max					,minRoundingErr			,maxRoundingErr			,minCumulativeErr		,maxCumulativeErr		,minPercentageRound		,maxPercentageRound		,minPercentageCumulative,maxPercentageCumulative

0,1,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05,0.000184250995516777,0.0002684639766812325,-7.491745054721832e-05,7.992517203092575e-05
0,10,0.001696161925792694,0.002614783123135567,-0.0006227996200323105,0.0004859417676925659,0.0001696161925792694,0.0002614783123135567,-6.227996200323105e-05,4.859417676925659e-05
0,100,0.01726430654525757,0.0273728147149086,-0.006891608238220215,0.006719112396240234,0.0001726430654525757,0.000273728147149086,-6.891608238220215e-05,6.719112396240234e-05
0,1000,0.1746752262115479,0.2594459056854248,-0.06038856506347656,0.07007169723510742,0.0001746752262115478,0.0002594459056854248,-6.038856506347657e-05,7.007169723510742e-05
0,10000,1.685966491699219,2.491485595703125,-0.64263916015625,0.5399131774902344,0.0001685966491699219,0.0002491485595703125,-6.4263916015625e-05,5.399131774902343e-05
0,100000,16.5775146484375,28.468505859375,-6.41815185546875,8.05859375,0.000165775146484375,0.00028468505859375,-6.41815185546875e-05,8.05859375e-05
0,1000000,172.44384765625,262.242431640625,-65.884033203125,59.0872802734375,0.00017244384765625,0.000262242431640625,-6.5884033203125e-05,5.90872802734375e-05
0,10000000,1626.4521484375,2444.39453125,-563.796875,675.00390625,0.00016264521484375,0.000244439453125,-5.63796875e-05,6.7500390625e-05
