offset			,radius			,minErrorPerVert,maxErrorPerVert,totalError		,averageError	
0.25,0.25,1.137325536023889e-11,0.7071067812142139,3135.021600883675,0.8708393335787985
0.25,0.5,1.705951256847589e-11,1.060660171821313,4702.532401325498,1.306259000368194
0.25,1,2.842948637399916e-11,1.767766953035548,7837.554002209232,2.177098333947009
0.25,2,5.117198944956685e-11,3.181980515463976,14107.59720397655,3.918777001104596
0.25,4,9.669306787434226e-11,6.010407640320802,26647.68360751126,7.402134335419795
0.25,8,1.876740774560881e-10,11.66726189003464,51727.85641458122,14.36884900405034
0.25,16,3.696180069231688e-10,22.98097038946177,101888.2020287186,28.30227834131071
0.25,32,7.336119684840176e-10,45.60838738831664,202208.8932569971,56.16913701583252
0.25,64,1.461933562196889e-09,90.86322138602669,402850.2757135545,111.9028543648763
0.25,128,2.917755198462161e-09,181.3728893814449,804133.0406266608,223.3702890629613
0.25,256,5.829067624531409e-09,362.3922253722851,1606698.570452892,446.3051584591367
0.25,512,1.165319216593151e-08,724.4308973539595,3211829.630105329,892.1748972514804
0.25,1024,2.32998562943417e-08,1448.508241317315,6422091.749410252,1783.914374836181
0.25,2048,4.660017984439592e-08,2896.662929244033,12842615.98801998,3567.39333000555
0.25,4096,9.317491700364475e-08,5792.972305097424,25683664.46523951,7134.351240344307
0.25,8192,1.86332577662636e-07,11585.59105680433,51365761.41967881,14268.26706102189
0.25,16384,3.727501762783626e-07,23170.82856021804,102729955.3285568,28536.09870237688
0.25,32768,7.45631388257378e-07,46341.30356704532,205458343.1463139,57071.76198508719
0.25,65536,1.490510422853763e-06,92682.25358069959,410915118.781825,114143.0885505069
0.25,131072,2.981396606537231e-06,185364.1536080092,821828670.0528468,228285.7416813463
0.25,262144,5.965283634350921e-06,370727.9536626289,1643655772.594899,456571.0479430276
0.25,524288,1.192210339472971e-05,741455.5537718635,3287309977.679003,913141.6604663896
0.25,1048576,2.385211961814776e-05,1482910.753990339,6574618387.847212,1826282.885513115
0.25,2097152,4.771088559361144e-05,2965821.154427301,13149235208.18362,3652565.335606562
0.25,4194304,9.538676723467152e-05,5931641.955301182,26298468848.85638,7305130.235793439
0.25,8388608,0.0001908189798706374,11863283.55704902,52596936130.20242,14610260.03616734
0.5,0.25,1.705951256847589e-11,1.060660171821313,4702.532401325498,1.306259000368194
0.5,0.5,2.274651072047778e-11,1.414213562428428,6270.043201767349,1.741678667157597
0.5,1,3.411902513695178e-11,2.121320343642626,9405.064802650995,2.612518000736388
0.5,2,5.685897274799833e-11,3.535533906071096,15675.10800441846,4.354196667894017
0.5,4,1.023439788991337e-10,6.363961030927952,28215.19440795309,7.837554002209193
0.5,8,1.933861357486845e-10,12.0208152806416,53295.36721502252,14.80426867083959
0.5,16,3.753481549121762e-10,23.33452378006928,103455.7128291624,28.73769800810068
0.5,32,7.392360138463376e-10,45.96194077892353,203776.4040574371,56.60455668262143
0.5,64,1.467223936968035e-09,91.21677477663327,404417.7865139942,112.338274031665
0.5,128,2.923867124393778e-09,181.7264427720534,805700.5514271091,223.8057087297525
0.5,256,5.835510396924322e-09,362.7457787628898,1608266.081253322,446.7405781259227
0.5,512,1.165813524906282e-08,724.7844507445701,3213397.140905784,892.6103169182734
0.5,1024,2.330638433186302e-08,1448.861794707919,6423659.260210658,1784.349794502961
0.5,2048,4.659971258868339e-08,2897.016482634629,12844183.4988205,3567.828749672362
0.5,4096,9.320035968879183e-08,5793.325858488067,25685231.97603996,7134.7866600111
0.5,8192,1.863498340072895e-07,11585.94461019485,51367328.93047901,14268.70248068861
0.5,16384,3.72665155325272e-07,23171.18211360866,102731522.8393576,28536.53412204378
0.5,32768,7.455003525567251e-07,46341.65712043609,205459910.6571135,57072.19740475376
0.5,65536,1.491262776514756e-06,92682.60713409063,410916686.2926278,114143.5239701744
0.5,131072,2.981020845707525e-06,185364.5071613992,821830237.56365,228286.1771010139
0.5,262144,5.962793213074462e-06,370728.3072160184,1643657340.105694,456571.4833626926
0.5,524288,1.193056726870184e-05,741455.9073252578,3287311545.189798,913142.0958860551
0.5,1048576,2.384420678945941e-05,1482911.107543727,6574619955.358006,1826283.320932779
0.5,2097152,4.770423923629551e-05,2965821.507980679,13149236775.69442,3652565.771026229
0.5,4194304,9.542177118722288e-05,5931642.308854601,26298470416.36724,7305130.671213124
0.5,8388608,0.000190773534469343,11863283.91060236,52596937697.71276,14610260.47158688
1,0.25,2.842948637399916e-11,1.767766953035548,7837.554002209232,2.177098333947009
1,0.5,3.411902513695178e-11,2.121320343642626,9405.064802650995,2.612518000736388
1,1,4.549302144095556e-11,2.828427124856856,12540.0864035347,3.483357334315194
1,2,6.823805027390355e-11,4.242640687285252,18810.12960530199,5.225036001472775
1,4,1.137179454959967e-10,7.071067812142192,31350.21600883693,8.708393335788035
1,8,2.046879577982674e-10,12.7279220618559,56430.38881590619,15.67510800441839
1,16,3.86772271497369e-10,24.04163056128321,106590.734430045,29.60853734167918
1,32,7.506963098243523e-10,46.66904756013856,206911.4256583249,57.47539601620136
1,64,1.478472027692675e-09,91.92388155784707,407552.8081148743,113.2091133652429
1,128,2.93444787393607e-09,182.4335495532665,808835.5730279883,224.6765480633301
1,256,5.847734248787555e-09,363.4528855441068,1611401.102854218,447.611417459505
1,512,1.167102079384864e-08,725.4915575257795,3216532.162506643,893.4811562518454
1,1024,2.331627049812564e-08,1449.56890148914,6426794.281811568,1785.220633836547
1,2048,4.661276866372603e-08,2897.723589415838,12847318.52042132,3568.699589005922
1,4096,9.319942517736679e-08,5794.032965269259,25688366.99764101,7135.657499344725
1,8192,1.864007193775837e-07,11586.65171697613,51370463.95207992,14269.5733200222
1,16384,3.72699668014579e-07,23171.8892203897,102734657.860958,28537.40496137723
1,32768,7.453303106505441e-07,46342.36422721732,205463045.6787152,57073.06824408756
1,65536,1.49100070511345e-06,92683.31424087218,410919821.314227,114144.3948095075
1,131072,2.982525553029512e-06,185365.2142681813,821833372.5852556,228287.0479403488
1,262144,5.962041691415051e-06,370729.0143227983,1643660475.1273,456572.3542020278
1,524288,1.192558642614892e-05,741456.6144320368,3287314680.211387,913142.9667253853
1,1048576,2.386113453740368e-05,1482911.814650516,6574623090.379597,1826284.19177211
1,2097152,4.768841357891883e-05,2965822.215087454,13149239910.71601,3652566.641865558
1,4194304,9.540847847259102e-05,5931643.015961357,26298473551.38885,7305131.542052458
1,8388608,0.0001908435423744458,11863284.6177092,52596940832.73449,14610261.34242625
2,0.25,5.117198944956685e-11,3.181980515463976,14107.59720397655,3.918777001104596
2,0.5,5.685897274799833e-11,3.535533906071096,15675.10800441846,4.354196667894017
