offset			,radius			,minErrorPerVert,maxErrorPerVert,totalError		,averageError	
0.25,0.25,2.072698492283642e-07,0.0543576365434035,79.62896280182683,0.02211915633384079
0.25,0.5,4.145396984567284e-07,0.108715273086807,159.2579256036537,0.04423831266768159
0.25,1,8.290793969134569e-07,0.217430546173614,318.5158512073073,0.08847662533536314
0.25,2,1.658158793826914e-06,0.434861092347228,637.0317024146146,0.1769532506707263
0.25,4,3.316317587653828e-06,0.8697221846944561,1274.063404829229,0.3539065013414525
0.25,8,6.632635175307655e-06,1.739444369388912,2548.126809658458,0.7078130026829049
0.25,16,1.326527035061531e-05,3.478888738777824,5096.253619316917,1.41562600536581
0.25,32,2.653054070123062e-05,6.957777477555648,10192.50723863383,2.831252010731621
0.25,64,5.306108140246124e-05,13.9155549551113,20385.01447726767,5.662504021463241
0.25,128,0.0001061221628049225,27.83110991022259,40770.02895453532,11.32500804292648
0.25,256,0.000212244325609845,55.66221982044519,81540.05790907065,22.65001608585296
0.25,512,0.0004244886512196899,111.3244396408904,163080.1158181413,45.30003217170592
0.25,1024,0.0008489773024393799,222.6488792817808,326160.2316362826,90.60006434341183
0.25,2048,0.00169795460487876,445.2977585635615,652320.4632725652,181.2001286868237
0.25,4096,0.003395909209757519,890.595517127123,1304640.92654513,362.4002573736473
0.25,8192,0.006791818419515039,1781.191034254246,2609281.853090261,724.8005147472946
0.25,16384,0.01358363683903008,3562.382068508492,5218563.706180521,1449.601029494589
0.25,32768,0.02716727367806016,7124.764137016984,10437127.41236104,2899.202058989179
0.25,65536,0.05433454735612031,14249.52827403397,20874254.82472209,5798.404117978357
0.25,131072,0.1086690947122406,28499.05654806794,41748509.64944417,11596.80823595671
0.25,262144,0.2173381894244812,56998.11309613587,83497019.29888834,23193.61647191343
0.25,524288,0.4346763788489625,113996.2261922717,166994038.5977767,46387.23294382686
0.25,1048576,0.869352757697925,227992.4523845435,333988077.1955534,92774.46588765371
0.25,2097152,1.73870551539585,455984.904769087,667976154.3911067,185548.9317753074
0.25,4194304,3.4774110307917,911969.809538174,1335952308.782213,371097.8635506149
0.25,8388608,6.9548220615834,1823939.619076348,2671904617.564427,742195.7271012297
0.5,0.25,2.072698492838754e-07,0.05435763654340348,79.62896280182689,0.0221191563338408
0.5,0.5,4.145396984567284e-07,0.108715273086807,159.2579256036537,0.04423831266768157
0.5,1,8.290793969134569e-07,0.217430546173614,318.5158512073074,0.08847662533536317
0.5,2,1.658158793826914e-06,0.434861092347228,637.0317024146146,0.1769532506707263
0.5,4,3.316317587653828e-06,0.8697221846944561,1274.063404829229,0.3539065013414526
0.5,8,6.632635175307655e-06,1.739444369388912,2548.126809658458,0.7078130026829049
0.5,16,1.326527035061531e-05,3.478888738777824,5096.253619316915,1.41562600536581
0.5,32,2.653054070123062e-05,6.957777477555648,10192.50723863383,2.831252010731621
0.5,64,5.306108140246124e-05,13.9155549551113,20385.01447726767,5.662504021463241
0.5,128,0.0001061221628049225,27.83110991022259,40770.02895453534,11.32500804292648
0.5,256,0.000212244325609845,55.66221982044519,81540.05790907065,22.65001608585296
0.5,512,0.0004244886512196899,111.3244396408904,163080.1158181413,45.30003217170592
0.5,1024,0.0008489773024393799,222.6488792817808,326160.2316362826,90.60006434341183
0.5,2048,0.00169795460487876,445.2977585635615,652320.4632725652,181.2001286868237
0.5,4096,0.003395909209757519,890.595517127123,1304640.92654513,362.4002573736473
0.5,8192,0.006791818419515039,1781.191034254246,2609281.853090261,724.8005147472946
0.5,16384,0.01358363683903008,3562.382068508492,5218563.706180521,1449.601029494589
0.5,32768,0.02716727367806016,7124.764137016984,10437127.41236104,2899.202058989179
0.5,65536,0.05433454735612031,14249.52827403397,20874254.82472209,5798.404117978357
0.5,131072,0.1086690947122406,28499.05654806794,41748509.64944417,11596.80823595671
0.5,262144,0.2173381894244812,56998.11309613587,83497019.29888834,23193.61647191343
0.5,524288,0.4346763788489625,113996.2261922717,166994038.5977767,46387.23294382686
0.5,1048576,0.869352757697925,227992.4523845435,333988077.1955534,92774.46588765371
0.5,2097152,1.73870551539585,455984.904769087,667976154.3911067,185548.9317753074
0.5,4194304,3.4774110307917,911969.809538174,1335952308.782213,371097.8635506149
0.5,8388608,6.9548220615834,1823939.619076348,2671904617.564427,742195.7271012297
1,0.25,2.072698492838754e-07,0.05435763654340342,79.628962801827,0.02211915633384083
1,0.5,4.145396985677507e-07,0.108715273086807,159.2579256036538,0.04423831266768161
1,1,8.290793969134569e-07,0.217430546173614,318.5158512073073,0.08847662533536314
1,2,1.658158793826914e-06,0.434861092347228,637.0317024146149,0.1769532506707263
1,4,3.316317587653828e-06,0.8697221846944561,1274.063404829229,0.3539065013414526
1,8,6.632635175307655e-06,1.739444369388912,2548.126809658459,0.7078130026829051
1,16,1.326527035061531e-05,3.478888738777824,5096.253619316915,1.41562600536581
1,32,2.653054070123062e-05,6.957777477555648,10192.50723863383,2.83125201073162
1,64,5.306108140246124e-05,13.9155549551113,20385.01447726767,5.662504021463241
1,128,0.0001061221628049225,27.83110991022259,40770.02895453534,11.32500804292648
1,256,0.000212244325609845,55.66221982044519,81540.05790907067,22.65001608585296
1,512,0.0004244886512196899,111.3244396408904,163080.1158181413,45.30003217170592
1,1024,0.0008489773024393799,222.6488792817808,326160.2316362826,90.60006434341183
1,2048,0.00169795460487876,445.2977585635615,652320.4632725652,181.2001286868237
1,4096,0.003395909209757519,890.595517127123,1304640.92654513,362.4002573736473
1,8192,0.006791818419515039,1781.191034254246,2609281.853090261,724.8005147472946
1,16384,0.01358363683903008,3562.382068508492,5218563.706180521,1449.601029494589
1,32768,0.02716727367806016,7124.764137016984,10437127.41236104,2899.202058989179
1,65536,0.05433454735612031,14249.52827403397,20874254.82472209,5798.404117978357
1,131072,0.1086690947122406,28499.05654806794,41748509.64944417,11596.80823595671
1,262144,0.2173381894244812,56998.11309613587,83497019.29888834,23193.61647191343
1,524288,0.4346763788489625,113996.2261922717,166994038.5977767,46387.23294382686
1,1048576,0.869352757697925,227992.4523845435,333988077.1955534,92774.46588765371
1,2097152,1.73870551539585,455984.904769087,667976154.3911067,185548.9317753074
1,4194304,3.4774110307917,911969.809538174,1335952308.782213,371097.8635506149
1,8388608,6.9548220615834,1823939.619076348,2671904617.564427,742195.7271012297
2,0.25,2.072698488397862e-07,0.05435763654340353,79.62896280182703,0.02211915633384084
2,0.5,4.145396985677507e-07,0.1087152730868068,159.257925603654,0.04423831266768167
2,1,8.290793971355015e-07,0.2174305461736139,318.5158512073075,0.08847662533536321
