offset			,radius			,minErrorPerVert,maxErrorPerVert,totalError		,averageError	
0.25,0.25,9.593756220172001e-06,0.1597260225075164,307.4189176026635,0.08539414377851764
0.25,0.5,1.9187512440344e-05,0.3194520450150328,614.837835205327,0.1707882875570353
0.25,1,3.8375024880688e-05,0.6389040900300658,1229.675670410654,0.3415765751140705
0.25,2,7.6750049761376e-05,1.277808180060132,2459.351340821308,0.6831531502281409
0.25,4,0.000153500099522752,2.555616360120263,4918.702681642615,1.366306300456282
0.25,8,0.000307000199045504,5.111232720240525,9837.40536328523,2.732612600912564
0.25,16,0.000614000398091008,10.22246544048105,19674.81072657046,5.465225201825127
0.25,32,0.001228000796182016,20.4449308809621,39349.62145314092,10.93045040365025
0.25,64,0.002456001592364032,40.8898617619242,78699.24290628184,21.86090080730051
0.25,128,0.004912003184728064,81.7797235238484,157398.4858125637,43.72180161460102
0.25,256,0.009824006369456129,163.5594470476968,314796.9716251274,87.44360322920204
0.25,512,0.01964801273891226,327.1188940953936,629593.9432502547,174.8872064584041
0.25,1024,0.03929602547782451,654.2377881907872,1259187.886500509,349.7744129168082
0.25,2048,0.07859205095564903,1308.475576381574,2518375.773001019,699.5488258336163
0.25,4096,0.1571841019112981,2616.951152763149,5036751.546002038,1399.097651667233
0.25,8192,0.3143682038225961,5233.902305526298,10073503.09200408,2798.195303334465
0.25,16384,0.6287364076451922,10467.8046110526,20147006.18400815,5596.390606668931
0.25,32768,1.257472815290384,20935.60922210519,40294012.3680163,11192.78121333786
0.25,65536,2.514945630580769,41871.21844421038,80588024.73603261,22385.56242667572
0.25,131072,5.029891261161538,83742.43688842077,161176049.4720652,44771.12485335144
0.25,262144,10.05978252232308,167484.8737768415,322352098.9441304,89542.24970670289
0.25,524288,20.11956504464615,334969.7475536831,644704197.8882608,179084.4994134058
0.25,1048576,40.2391300892923,669939.4951073661,1289408395.776522,358168.9988268116
0.25,2097152,80.47826017858461,1339878.990214732,2578816791.553043,716337.9976536231
0.25,4194304,160.9565203571692,2679757.980429464,5157633583.106087,1432675.995307246
0.25,8388608,321.9130407143384,5359515.960858929,10315267166.21217,2865351.990614492
0.5,0.25,9.593756220227512e-06,0.1597260225075164,307.4189176026635,0.08539414377851764
0.5,0.5,1.9187512440344e-05,0.3194520450150328,614.837835205327,0.1707882875570353
0.5,1,3.8375024880688e-05,0.6389040900300655,1229.675670410654,0.3415765751140706
0.5,2,7.6750049761376e-05,1.277808180060132,2459.351340821308,0.6831531502281409
0.5,4,0.000153500099522752,2.555616360120263,4918.702681642615,1.366306300456282
0.5,8,0.000307000199045504,5.111232720240526,9837.40536328523,2.732612600912564
0.5,16,0.000614000398091008,10.22246544048105,19674.81072657046,5.465225201825127
0.5,32,0.001228000796182016,20.4449308809621,39349.62145314092,10.93045040365025
0.5,64,0.002456001592364032,40.8898617619242,78699.24290628184,21.86090080730051
0.5,128,0.004912003184728064,81.7797235238484,157398.4858125637,43.72180161460102
0.5,256,0.009824006369456129,163.5594470476968,314796.9716251274,87.44360322920204
0.5,512,0.01964801273891226,327.1188940953936,629593.9432502547,174.8872064584041
0.5,1024,0.03929602547782451,654.2377881907872,1259187.886500509,349.7744129168082
0.5,2048,0.07859205095564903,1308.475576381574,2518375.773001019,699.5488258336163
0.5,4096,0.1571841019112981,2616.951152763149,5036751.546002038,1399.097651667233
0.5,8192,0.3143682038225961,5233.902305526298,10073503.09200408,2798.195303334465
0.5,16384,0.6287364076451922,10467.8046110526,20147006.18400815,5596.390606668931
0.5,32768,1.257472815290384,20935.60922210519,40294012.3680163,11192.78121333786
0.5,65536,2.514945630580769,41871.21844421038,80588024.73603261,22385.56242667572
0.5,131072,5.029891261161538,83742.43688842077,161176049.4720652,44771.12485335144
0.5,262144,10.05978252232308,167484.8737768415,322352098.9441304,89542.24970670289
0.5,524288,20.11956504464615,334969.7475536831,644704197.8882608,179084.4994134058
0.5,1048576,40.2391300892923,669939.4951073661,1289408395.776522,358168.9988268116
0.5,2097152,80.47826017858461,1339878.990214732,2578816791.553043,716337.9976536231
0.5,4194304,160.9565203571692,2679757.980429464,5157633583.106087,1432675.995307246
0.5,8388608,321.9130407143384,5359515.960858929,10315267166.21217,2865351.990614492
1,0.25,9.593756220338534e-06,0.1597260225075166,307.4189176026632,0.08539414377851755
1,0.5,1.918751244045502e-05,0.3194520450150329,614.837835205327,0.1707882875570353
1,1,3.8375024880688e-05,0.6389040900300655,1229.675670410654,0.3415765751140706
1,2,7.6750049761376e-05,1.277808180060131,2459.351340821308,0.6831531502281412
1,4,0.000153500099522752,2.555616360120263,4918.702681642615,1.366306300456282
1,8,0.000307000199045504,5.111232720240526,9837.40536328523,2.732612600912564
1,16,0.000614000398091008,10.22246544048105,19674.81072657046,5.465225201825127
1,32,0.001228000796182016,20.4449308809621,39349.62145314092,10.93045040365025
1,64,0.002456001592364032,40.8898617619242,78699.24290628184,21.86090080730051
1,128,0.004912003184728064,81.7797235238484,157398.4858125637,43.72180161460102
1,256,0.009824006369456129,163.5594470476968,314796.9716251274,87.44360322920204
1,512,0.01964801273891226,327.1188940953936,629593.9432502547,174.8872064584041
1,1024,0.03929602547782451,654.2377881907872,1259187.886500509,349.7744129168082
1,2048,0.07859205095564903,1308.475576381574,2518375.773001019,699.5488258336163
1,4096,0.1571841019112981,2616.951152763149,5036751.546002038,1399.097651667233
1,8192,0.3143682038225961,5233.902305526298,10073503.09200408,2798.195303334465
1,16384,0.6287364076451922,10467.8046110526,20147006.18400815,5596.390606668931
1,32768,1.257472815290384,20935.60922210519,40294012.3680163,11192.78121333786
1,65536,2.514945630580769,41871.21844421038,80588024.73603261,22385.56242667572
1,131072,5.029891261161538,83742.43688842077,161176049.4720652,44771.12485335144
1,262144,10.05978252232308,167484.8737768415,322352098.9441304,89542.24970670289
1,524288,20.11956504464615,334969.7475536831,644704197.8882608,179084.4994134058
1,1048576,40.2391300892923,669939.4951073661,1289408395.776522,358168.9988268116
1,2097152,80.47826017858461,1339878.990214732,2578816791.553043,716337.9976536231
1,4194304,160.9565203571692,2679757.980429464,5157633583.106087,1432675.995307246
1,8388608,321.9130407143384,5359515.960858929,10315267166.21217,2865351.990614492
2,0.25,9.593756220116489e-06,0.1597260225075163,307.4189176026633,0.08539414377851758
2,0.5,1.918751244067707e-05,0.3194520450150331,614.8378352053263,0.1707882875570351
2,1,3.837502488091005e-05,0.6389040900300658,1229.675670410654,0.3415765751140706
2,2,7.6750049761376e-05,1.277808180060131,2459.351340821308,0.6831531502281412
2,4,0.000153500099522752,2.555616360120262,4918.702681642616,1.366306300456282
2,8,0.000307000199045504,5.111232720240526,9837.40536328523,2.732612600912564
2,16,0.000614000398091008,10.22246544048105,19674.81072657046,5.465225201825127
2,32,0.001228000796182016,20.4449308809621,39349.62145314092,10.93045040365025
2,64,0.002456001592364032,40.8898617619242,78699.24290628184,21.86090080730051
2,128,0.004912003184728064,81.7797235238484,157398.4858125637,43.72180161460102
2,256,0.009824006369456129,163.5594470476968,314796.9716251274,87.44360322920204
2,512,0.01964801273891226,327.1188940953936,629593.9432502547,174.8872064584041
2,1024,0.03929602547782451,654.2377881907872,1259187.886500509,349.7744129168082
2,2048,0.07859205095564903,1308.475576381574,2518375.773001019,699.5488258336163
2,4096,0.1571841019112981,2616.951152763149,5036751.546002038,1399.097651667233
2,8192,0.3143682038225961,5233.902305526298,10073503.09200408,2798.195303334465
2,16384,0.6287364076451922,10467.8046110526,20147006.18400815,5596.390606668931
2,32768,1.257472815290384,20935.60922210519,40294012.3680163,11192.78121333786
2,65536,2.514945630580769,41871.21844421038,80588024.73603261,22385.56242667572
2,131072,5.029891261161538,83742.43688842077,161176049.4720652,44771.12485335144
2,262144,10.05978252232308,167484.8737768415,322352098.9441304,89542.24970670289
2,524288,20.11956504464615,334969.7475536831,644704197.8882608,179084.4994134058
2,1048576,40.2391300892923,669939.4951073661,1289408395.776522,358168.9988268116
2,2097152,80.47826017858461,1339878.990214732,2578816791.553043,716337.9976536231
2,4194304,160.9565203571692,2679757.980429464,5157633583.106087,1432675.995307246
2,8388608,321.9130407143384,5359515.960858929,10315267166.21217,2865351.990614492
4,0.25,9.5937562196724e-06,0.1597260225075168,307.4189176026636,0.08539414377851766
4,0.5,1.918751244023298e-05,0.3194520450150327,614.8378352053265,0.1707882875570352
4,1,3.837502488135414e-05,0.6389040900300662,1229.675670410653,0.3415765751140702
4,2,7.675004976182009e-05,1.277808180060132,2459.351340821308,0.6831531502281412
4,4,0.000153500099522752,2.555616360120262,4918.702681642616,1.366306300456282
4,8,0.000307000199045504,5.111232720240524,9837.405363285232,2.732612600912565
4,16,0.000614000398091008,10.22246544048105,19674.81072657046,5.465225201825127
4,32,0.001228000796182016,20.4449308809621,39349.62145314092,10.93045040365025
4,64,0.002456001592364032,40.88986176192421,78699.24290628184,21.86090080730051
4,128,0.004912003184728064,81.7797235238484,157398.4858125637,43.72180161460102
4,256,0.009824006369456129,163.5594470476968,314796.9716251274,87.44360322920204
4,512,0.01964801273891226,327.1188940953936,629593.9432502547,174.8872064584041
4,1024,0.03929602547782451,654.2377881907872,1259187.886500509,349.7744129168082
4,2048,0.07859205095564903,1308.475576381574,2518375.773001019,699.5488258336163
4,4096,0.1571841019112981,2616.951152763149,5036751.546002038,1399.097651667233
4,8192,0.3143682038225961,5233.902305526298,10073503.09200408,2798.195303334465
4,16384,0.6287364076451922,10467.8046110526,20147006.18400815,5596.390606668931
4,32768,1.257472815290384,20935.60922210519,40294012.3680163,11192.78121333786
4,65536,2.514945630580769,41871.21844421038,80588024.73603261,22385.56242667572
4,131072,5.029891261161538,83742.43688842077,161176049.4720652,44771.12485335144
4,262144,10.05978252232308,167484.8737768415,322352098.9441304,89542.24970670289
4,524288,20.11956504464615,334969.7475536831,644704197.8882608,179084.4994134058
4,1048576,40.2391300892923,669939.4951073661,1289408395.776522,358168.9988268116
4,2097152,80.47826017858461,1339878.990214732,2578816791.553043,716337.9976536231
4,4194304,160.9565203571692,2679757.980429464,5157633583.106087,1432675.995307246
4,8388608,321.9130407143384,5359515.960858929,10315267166.21217,2865351.990614492
8,0.25,9.593756221448757e-06,0.1597260225075168,307.418917602663,0.08539414377851749
8,0.5,1.91875124393448e-05,0.3194520450150335,614.8378352053271,0.1707882875570353
8,1,3.837502488046596e-05,0.6389040900300653,1229.675670410653,0.3415765751140703
8,2,7.675004976270827e-05,1.277808180060132,2459.351340821305,0.6831531502281404
8,4,0.0001535000995236402,2.555616360120263,4918.702681642616,1.366306300456282
8,8,0.000307000199045504,5.111232720240524,9837.405363285232,2.732612600912565
