offset			,radius			,minErrorPerVert,maxErrorPerVert,totalError		,averageError	
0.25,0.25,1.187938636348917e-14,2.702470663917822e-09,1.70702376137144e-06,4.741732670476222e-10
0.25,0.5,2.375877272697835e-14,5.404941327835644e-09,3.414047520411412e-06,9.483465334476143e-10
0.25,1,4.729550084903167e-14,1.080988265567129e-08,6.828095041211402e-06,1.896693067003167e-09
0.25,2,9.459100169806334e-14,2.161976531134258e-08,1.365619007556718e-05,3.793386132101993e-09
0.25,4,1.891820033961267e-13,4.323953062268515e-08,2.731238016254189e-05,7.586772267372748e-09
0.25,8,3.783640067922533e-13,8.64790612453703e-08,5.462476029438612e-05,1.517354452621837e-08
0.25,16,7.567280135845067e-13,1.729581224907406e-07,0.0001092495205917143,3.034708905325398e-08
0.25,32,1.513456027169013e-12,3.459162449814812e-07,0.0002184990411145671,6.069417808737974e-08
0.25,64,3.026912054338027e-12,6.918324899629624e-07,0.0004369980822429564,1.21388356178599e-07
0.25,128,6.053824108676054e-12,1.383664979925925e-06,0.0008739961645017891,2.427767123616081e-07
0.25,256,1.210764821735211e-11,2.76732995985185e-06,0.001747992329076076,4.855534247433544e-07
0.25,512,2.421529643470421e-11,5.534659919703699e-06,0.003495984657531231,9.711068493142309e-07
0.25,1024,4.843059286940843e-11,1.10693198394074e-05,0.006991969315716245,1.942213698810068e-06
0.25,2048,9.686118573881686e-11,2.21386396788148e-05,0.01398393863097691,3.884427397493586e-06
0.25,4096,1.937223714776337e-10,4.42772793576296e-05,0.02796787726149774,7.768854794860483e-06
0.25,8192,3.874447429552674e-10,8.855455871525919e-05,0.0559357545275429,1.553770959098414e-05
0.25,16384,7.748894859105349e-10,0.0001771091174305184,0.1118715090569047,3.107541918247354e-05
0.25,32768,1.54977897182107e-09,0.0003542182348610368,0.2237430180992577,6.215083836090491e-05
0.25,65536,3.099557943642139e-09,0.0007084364697220735,0.4474860361985153,0.0001243016767218098
0.25,131072,6.199115887284279e-09,0.001416872939444147,0.8949720724406863,0.0002486033534557462
0.25,262144,1.239823177456856e-08,0.002833745878888294,1.78994414493958,0.0004972067069276612
0.25,524288,2.479646354913712e-08,0.005667491757776588,3.579888289879161,0.0009944134138553224
0.25,1048576,4.959292709827423e-08,0.01133498351555318,7.159776579874737,0.001988826827742982
0.25,2097152,9.918585419654846e-08,0.02266996703110635,14.31955315974947,0.003977653655485965
0.25,4194304,1.983717083930969e-07,0.04533993406221271,28.63910631949895,0.007955307310971931
0.25,8388608,3.967434167861938e-07,0.09067986812442541,57.2782126389979,0.01591061462194386
0.5,0.25,1.187938636348917e-14,2.702470636162246e-09,1.70702376017795e-06,4.741732667160973e-10
0.5,0.5,2.375877272697835e-14,5.404941327835644e-09,3.41404752274288e-06,9.483465340952444e-10
0.5,1,4.75175454539567e-14,1.080988265567129e-08,6.828095040822824e-06,1.896693066895229e-09
0.5,2,9.459100169806334e-14,2.161976531134258e-08,1.36561900824228e-05,3.793386134006334e-09
0.5,4,1.891820033961267e-13,4.323953062268515e-08,2.731238015113435e-05,7.586772264203986e-09
0.5,8,3.783640067922533e-13,8.64790612453703e-08,5.462476032508379e-05,1.51735445347455e-08
0.5,16,7.567280135845067e-13,1.729581224907406e-07,0.0001092495205887722,3.034708905243673e-08
0.5,32,1.513456027169013e-12,3.459162449814812e-07,0.0002184990411834287,6.069417810650796e-08
0.5,64,3.026912054338027e-12,6.918324899629624e-07,0.0004369980822291342,1.213883561747595e-07
0.5,128,6.053824108676054e-12,1.383664979925925e-06,0.0008739961644859129,2.42776712357198e-07
