offset			,radius			,minErrorPerVert,maxErrorPerVert,totalError		,averageError	
0.25,0.25,4.651172466905707e-11,1.012644441063344,3243.478796564445,0.9009663323790124
0.25,0.5,6.976721653170268e-11,1.518966661595015,4865.218194846661,1.351449498568517
0.25,1,1.162756596460481e-10,2.531611102658359,8108.696991411145,2.25241583094754
0.25,2,2.092951013392528e-10,4.556899984785048,14595.65458454,4.054348495705557
0.25,4,3.95370056999294e-10,8.60747774903842,27569.56977079779,7.658213825221607
0.25,8,7.674588210515892e-10,16.70863327754517,53517.40014331385,14.86594448425385
0.25,16,1.511618259459774e-09,32.91094433455865,105413.0608883437,29.28140580231769
0.25,32,3.000043238902792e-09,65.31556644858566,209204.3823784063,58.11232843844619
0.25,64,5.977226868380055e-09,130.1248106766397,416787.0253585322,115.7741737107034
0.25,128,1.193077257617421e-08,259.7432991327477,831952.311318779,231.0978642552164
0.25,256,2.38375331453003e-08,518.9802760449638,1662282.883239286,461.745245344246
0.25,512,4.765255397281521e-08,1037.454229869396,3322944.027080266,923.040007522296
0.25,1024,9.528101067345586e-08,2074.402137518259,6644266.31476229,1845.629531878414
0.25,2048,1.905449193679698e-07,4148.297952815985,13286910.89012628,3690.808580590633
0.25,4096,3.810468268161324e-07,8296.089583411444,26572200.04085428,7381.166678015076
0.25,8192,7.620588280529559e-07,16591.67284460234,53142778.34231046,14761.88287286402
0.25,16384,1.524185107824384e-06,33182.83936698418,106283934.9452222,29523.31526256173
0.25,32768,3.048483682114686e-06,66365.17241174786,212566248.1510461,59046.18004195725
0.25,65536,6.096197441333708e-06,132729.8385012751,425130874.5626947,118091.9096007485
0.25,131072,1.219275307426279e-05,265459.1706803297,850260127.3859903,236183.3687183306
0.25,262144,2.438797900056781e-05,530917.8350384387,1700518633.032579,472366.2869534941
0.25,524288,4.876747655792846e-05,1061835.163754657,3401035644.325755,944732.1234238208
0.25,1048576,9.754284837530926e-05,2123669.821187096,6802069666.912112,1889463.796364476
0.25,2097152,0.0001950923255386997,4247339.136051967,13604137712.08481,3778927.142245782
0.25,4194304,0.0003901496295556248,8494677.765781708,27208273802.43026,7557853.834008407
0.25,8388608,0.0007803446869432819,16989355.0252412,54416545983.12155,15115707.21753376
0.5,0.25,6.976721653170268e-11,1.518966661595015,4865.218194846661,1.351449498568517
0.5,0.5,9.302344933811413e-11,2.025288882126687,6486.957593128889,1.801932664758025
0.5,1,1.395344330634054e-10,3.037933323190031,9730.436389693323,2.702898997137034
0.5,2,2.325513192920962e-10,5.063222205316718,16217.39398282229,4.50483166189508
0.5,4,4.185902026785057e-10,9.113799969570096,29191.30916908001,8.108696991411113
0.5,8,7.90740113998588e-10,17.21495549807684,55139.13954159557,15.31642765044321
0.5,16,1.534917642103178e-09,33.41726655509034,107034.8002866277,29.7318889685077
0.5,32,3.023236518919549e-09,65.8218886691173,210826.1217766874,58.56281160463538
0.5,64,6.000086477805585e-09,130.6311328971713,418408.7647568126,116.2246568768924
0.5,128,1.195445373676011e-08,260.2496213532794,833574.0507170644,231.5483474214068
0.5,256,2.386154515234841e-08,519.4865982654953,1663904.622637558,462.1957285104328
0.5,512,4.76750662906006e-08,1037.960552089928,3324565.766478571,923.4904906884919
0.5,1024,9.530510794563042e-08,2074.908459738792,6645888.054160532,1846.080015044592
0.5,2048,1.905620213469117e-07,4148.804275036518,13288532.62952458,3691.259063756828
0.5,4096,3.810898387359396e-07,8296.59590563197,26573821.78025256,7381.617161181266
0.5,8192,7.620936536322648e-07,16592.17916682289,53144400.08170855,14762.33335603015
0.5,16384,1.524117656105912e-06,33183.34568920469,106285556.6846209,29523.76574572803
0.5,32768,3.048370215648768e-06,66365.67873396835,212567869.8904445,59046.63052512346
0.5,65536,6.096967364229372e-06,132730.3448234957,425132496.3020922,118092.3600839145
0.5,131072,1.219239488266742e-05,265459.6770025502,850261749.1253893,236183.819201497
0.5,262144,2.438550614852559e-05,530918.3413606595,1700520254.771981,472366.7374366613
0.5,524288,4.877595800113562e-05,1061835.670076877,3401037266.065158,944732.5739069883
0.5,1048576,9.753495311585691e-05,2123670.327509314,6802071288.65151,1889464.246847642
0.5,2097152,0.0001950856967506185,4247339.642374191,13604139333.82422,3778927.592728951
0.5,4194304,0.0003901846510773995,8494678.272103934,27208275424.16963,7557854.284491563
0.5,8388608,0.0007802992591112495,16989355.53156342,54416547604.86053,15115707.66801681
1,0.25,1.162756596460481e-10,2.531611102658359,8108.696991411145,2.25241583094754
1,0.5,1.395344330634054e-10,3.037933323190031,9730.436389693323,2.702898997137034
1,1,1.860468986762283e-10,4.050577764253374,12973.91518625778,3.603865329516049
1,2,2.790688661268107e-10,6.075866646380062,19460.87277938665,5.405797994274068
1,4,4.651026385841924e-10,10.12644441063344,32434.78796564458,9.009663323790161
1,8,8.371804053570113e-10,18.22759993914019,58382.61833816001,16.21739398282223
1,16,1.581480227997176e-09,34.42991099615368,110278.2790831911,30.63285530088643
1,32,3.069835284206357e-09,66.83453311018067,214069.6005732554,59.46377793701539
1,64,6.046473037839098e-09,131.6437773382346,421652.2435533747,117.1256232092708
1,128,1.200017295561117e-08,261.2622657943426,836817.5295136252,232.4493137537848
1,256,2.390890747352022e-08,520.4992427065588,1667148.101434129,463.0966948428136
1,512,4.772309030469683e-08,1038.973196530991,3327809.245275116,924.3914570208656
1,1024,9.53501325812012e-08,2075.921104179855,6649131.532957142,1846.980981376984
1,2048,1.906102158912608e-07,4149.816919477584,13291776.10832106,3692.160030089184
1,4096,3.811240426938234e-07,8297.608550073037,26577065.25904916,7382.518127513656
1,8192,7.621796774718793e-07,16593.19181126394,53147643.56050511,14763.23432236253
1,16384,1.52418730726453e-06,33184.35833364577,106288800.1634171,29524.66671206031
1,32768,3.048235312211824e-06,66366.69137840938,212571113.3692418,59047.53149145607
1,65536,6.096740431297537e-06,132731.3574679367,425135739.7808889,118093.2610502469
1,131072,1.219393472845874e-05,265460.6896469914,850264992.6041844,236184.720167829
1,262144,2.438478976533483e-05,530919.3540051004,1700523498.250779,472367.6384029941
1,524288,4.877101229705118e-05,1061836.682721319,3401040509.543961,944733.4748733225
1,1048576,9.755191600227124e-05,2123671.340153755,6802074532.130316,1889465.147813977
1,2097152,0.0001950699062317138,4247340.655018628,13604142577.30302,3778928.493695283
1,4194304,0.000390171393501237,8494679.284748383,27208278667.64845,7557855.185457902
1,8388608,0.000780369302154799,16989356.54420787,54416550848.33926,15115708.56898313
2,0.25,2.092951013392528e-10,4.556899984785048,14595.65458454,4.054348495705557
2,0.5,2.325513192920962e-10,5.063222205316718,16217.39398282229,4.50483166189508
2,1,2.790688661268107e-10,6.075866646380062,19460.87277938665,5.405797994274068
2,2,3.720937973524565e-10,8.101155528506748,25947.83037251556,7.207730659032099
2,4,5.581377322536214e-10,12.15173329276012,38921.74555877329,10.81159598854814
2,8,9.302052771683848e-10,20.25288882126687,64869.57593128916,18.01932664758032
2,16,1.674360810714023e-09,36.45519987828038,116765.23667632,32.43478796564445
2,32,3.162960455994352e-09,68.85982199230736,220556.5581663823,61.26571060177286
2,64,6.139670568412714e-09,133.6690662203613,428139.2011465108,118.9275558740308
2,128,1.20929460756782e-08,263.2875546764692,843304.4871067494,234.2512464185415
2,256,2.400034591122234e-08,522.5245315886852,1673635.05902725,464.8986275075695
2,512,4.781781494704044e-08,1040.998485413118,3334296.202868258,926.1933896856272
2,1024,9.544618060939366e-08,2077.946393061981,6655618.490550232,1848.782914041731
2,2048,1.907002651624024e-07,4151.842208359711,13298263.06591428,3693.961962753968
2,4096,3.812204317825217e-07,8299.633838955167,26583552.21664213,7384.320060178368
2,8192,7.622480853876469e-07,16595.21710014607,53154130.51809832,14765.03625502731
2,16384,1.524359354943759e-06,33186.38362252788,106295287.1210102,29526.46864472506
2,32768,3.048374614529059e-06,66368.71666729155,212577600.3268342,59049.33342412061
2,65536,6.096470624423647e-06,132733.3827568188,425142226.7384837,118095.0629829121
2,131072,1.219348086259507e-05,265462.7149358734,850271479.5617778,236186.5221004938
2,262144,2.438786945691749e-05,530921.3792939829,1700529985.208369,472369.440335658
2,524288,4.876957953066966e-05,1061838.708010201,3401046996.501557,944735.2768059882
2,1048576,9.754202459410236e-05,2123673.365442638,6802081019.087922,1889466.949746645
2,2097152,0.0001951038320045425,4247342.680307509,13604149064.26063,3778930.295627953
2,4194304,0.0003901398124634277,8494681.310037255,27208285154.60604,7557856.987390567
2,8388608,0.0007803427870024741,16989358.56949677,54416557335.2969,15115710.3709158
4,0.25,3.95370056999294e-10,8.60747774903842,27569.56977079779,7.658213825221607
4,0.5,4.185902026785057e-10,9.113799969570096,29191.30916908001,8.108696991411113
4,1,4.651026385841924e-10,10.12644441063344,32434.78796564458,9.009663323790161
4,2,5.581377322536214e-10,12.15173329276012,38921.74555877329,10.81159598854814
4,4,7.441875947049131e-10,16.2023110570135,51895.66074503111,14.4154613180642
4,8,1.116275464507243e-09,24.30346658552025,77843.49111754658,21.62319197709627
4,16,1.86041055433677e-09,40.50577764253374,129739.1518625783,36.03865329516064
4,32,3.348721621428045e-09,72.91039975656076,233530.4733526401,64.86957593128891
4,64,6.325920911988704e-09,137.7196439846147,441113.1163327646,122.5314212035457
4,128,1.227934113682543e-08,267.3381324407227,856278.4022930217,237.8551117480616
4,256,2.418589215135639e-08,526.5751093529384,1686608.974213499,468.502492837083
4,512,4.800069182244468e-08,1045.04906317737,3347270.118054501,929.7972550151391
4,1024,9.563562989408088e-08,2081.996970826235,6668592.405736515,1852.386779371254
4,2048,1.908923612187873e-07,4155.892786123963,13311236.98110046,3697.565828083462
4,4096,3.814005303248048e-07,8303.684416719421,26596526.13182857,7387.923925507936
4,8192,7.624408635650434e-07,16599.26767791033,53167104.43328425,14768.64012035674
4,16384,1.524496170775294e-06,33190.43420029215,106308261.0361966,29530.07251005462
4,32768,3.048718709887517e-06,66372.76724505576,212590574.2420205,59052.93728945013
4,65536,6.096749229058118e-06,132737.4333345831,425155200.6536684,118098.6668482412
4,131072,1.219294124884729e-05,265466.7655136375,850284453.4769673,236190.1259658243
4,262144,2.438696172519015e-05,530925.4298717468,1700542959.123556,472373.0442009877
4,524288,4.877573891383498e-05,1061842.758587966,3401059970.416738,944738.8806713159
4,1048576,9.753915906133932e-05,2123677.416020402,6802093993.003115,1889470.553611976
4,2097152,0.0001950840491882047,4247346.730885276,13604162038.17584,3778933.89949329
4,4194304,0.000390207664009085,8494685.360615019,27208298128.52126,7557860.591255906
4,8388608,0.0007802796249268553,16989362.62007451,54416570309.21208,15115713.97478113
8,0.25,7.674588210515892e-10,16.70863327754517,53517.40014331385,14.86594448425385
8,0.5,7.90740113998588e-10,17.21495549807684,55139.13954159557,15.31642765044321
8,1,8.371804053570113e-10,18.22759993914019,58382.61833816001,16.21739398282223
8,2,9.302052771683848e-10,20.25288882126687,64869.57593128916,18.01932664758032
8,4,1.116275464507243e-09,24.30346658552025,77843.49111754658,21.62319197709627
