offset			,radius			,minErrorPerVert,maxErrorPerVert,totalError		,averageError	
0.25,0.25,0.08173592138591745,4.757900857394536e+303,4.799048735926291e+304,1.333069093312859e+301
0.25,0.5,0.1226038820788762,7.136851286091775e+303,7.198573103889402e+304,1.999603639969278e+301
0.25,1,0.2043398034647932,1.189475214348627e+304,1.199762183981569e+305,3.332672733282137e+301
0.25,2,0.3678116462366279,2.141055385827528e+304,2.159571931166834e+305,5.998810919907873e+301
0.25,4,0.6947553317802981,4.044215728785322e+304,4.079191425537323e+305,1.133108729315923e+302
0.25,8,1.348642702867638,7.850536414700884e+304,7.918430414278307e+305,2.199564003966196e+302
0.25,16,2.656417445042315,1.54631777865322e+305,1.559690839176039e+306,4.332474553266775e+302
0.25,32,5.271966929391674,3.068846053019443e+305,3.095386434672445e+306,8.598295651867904e+302
0.25,64,10.50306589809038,6.113902601751919e+305,6.166777625665241e+306,1.712993784907011e+303
0.25,128,20.96526383548783,1.220401569921686e+306,1.230956000765087e+307,3.419322224347464e+303
0.25,256,41.88965971028267,2.438424189414688e+306,2.459512477162216e+307,6.831979103228378e+303
0.25,512,83.73845145987229,4.874469428400688e+306,4.916625429956485e+307,1.365729286099024e+304
0.25,1024,167.4360349590518,9.746559906372622e+306,9.830851335545007e+307,2.730792037651391e+304
0.25,2048,334.8312019574105,1.949074086231658e+307,inf,inf
0.25,4096,669.6215359541284,3.897910277420439e+307,inf,inf
0.25,8192,1339.202203947565,7.79558265979798e+307,inf,inf
0.25,16384,2678.363539934435,1.559092742455324e+308,inf,inf
0.25,32768,nan,nan,nan,nan
0.25,65536,nan,nan,nan,nan
0.25,131072,nan,nan,nan,nan
0.25,262144,nan,nan,nan,nan
0.25,524288,nan,nan,nan,nan
0.25,1048576,nan,nan,nan,nan
0.25,2097152,nan,nan,nan,nan
0.25,4194304,nan,nan,nan,nan
0.25,8388608,nan,nan,nan,nan
0.5,0.25,0.1226038820788762,7.136851286091775e+303,7.198573103889402e+304,1.999603639969278e+301
0.5,0.5,0.1634718427718349,9.515801714789073e+303,9.598097471852583e+304,2.666138186625717e+301
0.5,1,0.2452077641577524,1.427370257218355e+304,1.43971462077788e+305,3.999207279938557e+301
0.5,2,0.4086796069295864,2.378950428697253e+304,2.399524367963139e+305,6.665345466564274e+301
0.5,4,0.7356232924732558,4.282110771655056e+304,4.319143862333669e+305,1.199762183981575e+302
0.5,8,1.389510663560596,8.088431457570644e+304,8.158382851074646e+305,2.266217458631846e+302
0.5,16,2.697285405735276,1.570107282940177e+305,1.583686082855661e+306,4.399128007932393e+302
0.5,32,5.312834890084631,3.09263555730644e+305,3.119381678352078e+306,8.664949106533551e+302
0.5,64,10.54393385878335,6.137692106038887e+305,6.190772869344891e+306,1.719659130373581e+303
0.5,128,21.00613179618077,1.222780520350384e+306,1.233355525133048e+307,3.425987569814022e+303
0.5,256,41.93052767097566,2.440803139843372e+306,2.461912001530174e+307,6.838644448694929e+303
0.5,512,83.77931942056534,4.876848378829375e+306,4.919024954324432e+307,1.366395820645676e+304
0.5,1024,167.4769029197446,9.748938856801377e+306,9.833250859912971e+307,2.731458572198048e+304
0.5,2048,334.8720699181035,1.949311981274524e+307,inf,inf
0.5,4096,669.662403914821,3.898148172463315e+307,inf,inf
0.5,8192,1339.243071908257,7.795820554840879e+307,inf,inf
0.5,16384,2678.40440789513,1.559116531959596e+308,inf,inf
0.5,32768,nan,nan,nan,nan
0.5,65536,nan,nan,nan,nan
0.5,131072,nan,nan,nan,nan
0.5,262144,nan,nan,nan,nan
0.5,524288,nan,nan,nan,nan
0.5,1048576,nan,nan,nan,nan
0.5,2097152,nan,nan,nan,nan
0.5,4194304,nan,nan,nan,nan
